run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_2_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,2,10,1,20,1,20,9.12962E-05,6.14622E-05,0.011088807,74846.83204,47999.15369,75533.61438,718.0614785,18.67373141,10256.95917,737.3887125,20.32011221,15216.40962
sandy_loam_depth_1_noise_0_lay_psi_4_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,4,10,1,20,1,20,3.14945E-05,2.16426E-05,0.022189892,1723524.293,119950.0194,75615.40643,0.592430367,0.326936828,69230666.98,0.41481138,0.283304648,52086255174
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,6,10,1,20,1,20,3.66839E-05,1.26345E-05,1.22626E-05,220664.2151,21871.56906,163415249.7,3.189238839,0.130766096,0.158479839,3.10420034,0.194945791,0.228539184
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,8,10,1,20,1,20,0.021416756,9.55395E-06,8.1032E-06,75630.69255,1495.987951,13451.21907,250898.1702,0.161770061,0.067674002,247082.7749,0.172405727,0.1815996
sandy_loam_depth_1_noise_0_lay_psi_9_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,9,10,1,20,1,20,0.010153611,1.47859E-05,1.16527E-05,75616.79206,1752.529004,11229.77201,3750117.877,0.207027572,0.132263343,6496480996,0.217435097,0.227236538
sandy_loam_depth_1_noise_0_lay_psi_10_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,10,10,1,20,1,20,0.000931838,0.000497742,1.13823E-05,75625.53278,75631.20265,12752.99927,87.13156651,34.8525293,0.171970963,232.6168508,32.9942918,0.210311948
sandy_loam_depth_1_noise_0_lay_psi_11_neu_psi_10_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,11,10,1,20,1,20,0.005950973,0.000485712,0.00046843,75616.8635,75631.22954,75631.23881,63.24536961,35.76826626,39.95217127,138.7012527,33.73705035,37.66504583
sandy_loam_depth_1_noise_0_lay_psi_2_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,2,20,1,20,1,20,2.31449E-05,5.10773E-05,0.013165319,106072.0011,56259.04954,75566.08977,1.07675229,17.40931562,21683.43478,1.039071945,18.48561708,5464.381065
sandy_loam_depth_1_noise_0_lay_psi_4_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,4,20,1,20,1,20,1.33377E-05,2.37303E-05,0.002778639,15807876.27,6365948.445,102960.1925,0.499461058,0.974133947,263517.1695,0.397003774,0.743131922,1.79719E+13
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,6,20,1,20,1,20,2.03909E-06,1.23557E-05,3.09157E-06,8151605.03,1926872.516,77895641.68,0.026708171,0.488807647,0.09079278,0.052823714,0.353357713,0.109344232
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,8,20,1,20,1,20,0.000423817,5.80142E-06,0.000314159,75631.20895,2281.694977,75631.24761,27.72020761,0.101105242,35.91966358,26.33835612,0.128347522,33.78107645
sandy_loam_depth_1_noise_0_lay_psi_9_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,9,20,1,20,1,20,0.000445632,2.39938E-06,6.61266E-06,75631.19682,622.1170348,14503.76827,28.52807918,0.038767281,0.189379697,26.94567113,0.070409047,0.136056016
sandy_loam_depth_1_noise_0_lay_psi_10_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,10,20,1,20,1,20,0.00062106,0.000356637,2.27397E-06,75631.24961,75631.05768,15810.5175,92.93626284,26.35471507,0.042989288,88.31097767,24.73937296,0.067821784
sandy_loam_depth_1_noise_0_lay_psi_11_neu_psi_20_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,11,20,1,20,1,20,0.000262373,0.000341042,0.001205945,75631.19356,75630.82984,75631.25472,47.13316062,189.7586788,206719.525,43.76088642,180.5354837,206417.1216
sandy_loam_depth_1_noise_0_lay_psi_2_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,2,40,1,20,1,20,0.007870856,4.46469E-05,0.024673738,76195.83884,41401.77681,75584.74948,1663528.252,8.311561782,6854967158,1.71262E+13,8.656627721,1.15424E+13
sandy_loam_depth_1_noise_0_lay_psi_4_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,4,40,1,20,1,20,2.10081E-06,2.67516E-06,0.001092273,3128273487,412574215.9,75631.05397,0.034717756,0.04819304,158.9632769,0.059301759,0.066689445,40684.35327
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,6,40,1,20,1,20,7.57382E-06,1.81231E-06,2.14707E-06,1175515.534,26480351.41,219897890.9,0.198408364,0.013363477,0.041216778,0.13243653,0.035991803,0.053625887
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,8,40,1,20,1,20,0.000246666,1.54703E-06,0.000282611,75631.17924,480535.8651,75631.24637,2158.809972,0.017932333,46.71172772,2126.682611,0.039477807,43.78544933
sandy_loam_depth_1_noise_0_lay_psi_9_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,9,40,1,20,1,20,0.000382855,2.00469E-06,9.28526E-06,75631.22543,1353.202385,4506.13762,33.90019643,0.030291983,0.208976283,31.87053312,0.040792181,0.164807347
sandy_loam_depth_1_noise_0_lay_psi_10_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,10,40,1,20,1,20,0.000516354,0.000111453,3.33978E-06,75631.22789,75631.24162,449.2222301,69.79361335,25.24707349,0.032490381,66.26404476,23.54474409,0.069244718
sandy_loam_depth_1_noise_0_lay_psi_11_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_1_neu_K_20,1,0,11,40,1,20,1,20,0.000309953,0.000378224,0.000681497,75631.25449,75631.22792,75631.15065,1590.168618,47.66057484,704310.8898,1563.818534,44.81878794,703767.2421
